imdb_id,title,genre,imdb_rating,year,content_type
tt0108052,Schindler's List,Tragedy,9.0,1993,movie
tt0108052,Schindler's List,Biography,9.0,1993,movie
tt0108052,Schindler's List,Drama,9.0,1993,movie
tt0108052,Schindler's List,History,9.0,1993,movie
tt0108052,Schindler's List,Atmospheric,9.0,1993,movie
tt0108052,Schindler's List,Authentic emotion,9.0,1993,movie
tt0108052,Schindler's List,Character development,9.0,1993,movie
tt0108052,Schindler's List,Cinematography,9.0,1993,movie
tt0108052,Schindler's List,Direction,9.0,1993,movie
tt0108052,Schindler's List,Historical accuracy,9.0,1993,movie
tt0108052,Schindler's List,Musical score,9.0,1993,movie
tt0108052,Schindler's List,Performance,9.0,1993,movie
tt0108052,Schindler's List,Symbolism,9.0,1993,movie
tt0120737,The Lord of the Rings: The Fellowship of the Ring,Action Epic,8.9,2001,movie
tt0120737,The Lord of the Rings: The Fellowship of the Ring,Adventure Epic,8.9,2001,movie
tt0120737,The Lord of the Rings: The Fellowship of the Ring,Dark Fantasy,8.9,2001,movie
tt0120737,The Lord of the Rings: The Fellowship of the Ring,Epic,8.9,2001,movie
tt0120737,The Lord of the Rings: The Fellowship of the Ring,Fantasy Epic,8.9,2001,movie
tt0120737,The Lord of the Rings: The Fellowship of the Ring,Quest,8.9,2001,movie
tt0120737,The Lord of the Rings: The Fellowship of the Ring,Sword & Sorcery,8.9,2001,movie
tt0120737,The Lord of the Rings: The Fellowship of the Ring,Adventure,8.9,2001,movie
tt0120737,The Lord of the Rings: The Fellowship of the Ring,Drama,8.9,2001,movie
tt0120737,The Lord of the Rings: The Fellowship of the Ring,Fantasy,8.9,2001,movie
tt0120737,The Lord of the Rings: The Fellowship of the Ring,Adaptation,8.9,2001,movie
tt0120737,The Lord of the Rings: The Fellowship of the Ring,Ambitious,8.9,2001,movie
tt0120737,The Lord of the Rings: The Fellowship of the Ring,Authentic emotion,8.9,2001,movie
tt0120737,The Lord of the Rings: The Fellowship of the Ring,Character development,8.9,2001,movie
tt0120737,The Lord of the Rings: The Fellowship of the Ring,Cinematography,8.9,2001,movie
tt0120737,The Lord of the Rings: The Fellowship of the Ring,Epic,8.9,2001,movie
tt0120737,The Lord of the Rings: The Fellowship of the Ring,Friendship,8.9,2001,movie
tt0120737,The Lord of the Rings: The Fellowship of the Ring,Production design,8.9,2001,movie
tt0120737,The Lord of the Rings: The Fellowship of the Ring,Special effects,8.9,2001,movie
tt0120737,The Lord of the Rings: The Fellowship of the Ring,Worldbuilding,8.9,2001,movie
tt0110912,Pulp Fiction,Dark Comedy,8.8,1994,movie
tt0110912,Pulp Fiction,Drug Crime,8.8,1994,movie
tt0110912,Pulp Fiction,Gangster,8.8,1994,movie
tt0110912,Pulp Fiction,Crime,8.8,1994,movie
tt0110912,Pulp Fiction,Drama,8.8,1994,movie
tt0110912,Pulp Fiction,Atmospheric,8.8,1994,movie
tt0110912,Pulp Fiction,Authentic emotion,8.8,1994,movie
tt0110912,Pulp Fiction,Cinematography,8.8,1994,movie
tt0110912,Pulp Fiction,Comedic brilliance,8.8,1994,movie
tt0110912,Pulp Fiction,Dark humor,8.8,1994,movie
