title,imdb_id,content_type,platform,platform_group,monetization,presentation,region,imdb_rating,year,genre_primary,vote_weighted_score,content_type_titles,is_recent
"The Good, the Bad and the Ugly",tt0060196,movie,MGM Plus Amazon Channel,Other,flatrate,hd,IN,8.8,1966,Action Epic,8.397,movie,0
"The Good, the Bad and the Ugly",tt0060196,movie,Amazon Video,Other,rent,hd,IN,8.8,1966,Action Epic,8.397,movie,0
The Lord of the Rings: The Two Towers,tt0167261,movie,JioHotstar,Other,flatrate,hd,IN,8.8,2002,Action Epic,8.397,movie,0
The Lord of the Rings: The Two Towers,tt0167261,movie,VI movies and tv,Other,flatrate,hd,IN,8.8,2002,Action Epic,8.397,movie,0
The Lord of the Rings: The Two Towers,tt0167261,movie,Apple TV Store,Other,rent,hd,IN,8.8,2002,Action Epic,8.397,movie,0
The Lord of the Rings: The Two Towers,tt0167261,movie,Google Play Movies,Other,rent,hd,IN,8.8,2002,Action Epic,8.397,movie,0
The Lord of the Rings: The Two Towers,tt0167261,movie,YouTube,Other,rent,hd,IN,8.8,2002,Action Epic,8.397,movie,0
The Lord of the Rings: The Two Towers,tt0167261,movie,Amazon Video,Other,rent,hd,IN,8.8,2002,Action Epic,8.397,movie,0
Forrest Gump,tt0109830,movie,Amazon Prime Video,Amazon Prime Video,flatrate,hd,IN,8.8,1994,Epic,8.397,movie,0
Forrest Gump,tt0109830,movie,JioHotstar,Other,flatrate,hd,IN,8.8,1994,Epic,8.397,movie,0
Forrest Gump,tt0109830,movie,Amazon Prime Video with Ads,Other,flatrate,hd,IN,8.8,1994,Epic,8.397,movie,0
Forrest Gump,tt0109830,movie,Apple TV Store,Other,rent,hd,IN,8.8,1994,Epic,8.397,movie,0
Forrest Gump,tt0109830,movie,Google Play Movies,Other,rent,hd,IN,8.8,1994,Epic,8.397,movie,0
Forrest Gump,tt0109830,movie,YouTube,Other,rent,hd,IN,8.8,1994,Epic,8.397,movie,0
Forrest Gump,tt0109830,movie,Amazon Video,Other,rent,hd,IN,8.8,1994,Epic,8.397,movie,0
Fight Club,tt0137523,movie,JioHotstar,Other,flatrate,hd,IN,8.8,1999,Dark Comedy,8.397,movie,0
Fight Club,tt0137523,movie,Google Play Movies,Other,buy,hd,IN,8.8,1999,Dark Comedy,8.397,movie,0
Fight Club,tt0137523,movie,YouTube,Other,buy,hd,IN,8.8,1999,Dark Comedy,8.397,movie,0
Inception,tt1375666,movie,Amazon Prime Video,Amazon Prime Video,flatrate,hd,IN,8.8,2010,Action Epic,8.397,movie,0
Inception,tt1375666,movie,JioHotstar,Other,flatrate,hd,IN,8.8,2010,Action Epic,8.397,movie,0
Inception,tt1375666,movie,Amazon Prime Video with Ads,Other,flatrate,hd,IN,8.8,2010,Action Epic,8.397,movie,0
Inception,tt1375666,movie,Apple TV Store,Other,rent,hd,IN,8.8,2010,Action Epic,8.397,movie,0
Inception,tt1375666,movie,Google Play Movies,Other,rent,hd,IN,8.8,2010,Action Epic,8.397,movie,0
Inception,tt1375666,movie,YouTube,Other,rent,hd,IN,8.8,2010,Action Epic,8.397,movie,0
Inception,tt1375666,movie,Amazon Video,Other,rent,hd,IN,8.8,2010,Action Epic,8.397,movie,0
Star Wars: Episode V - The Empire Strikes Back,tt0080684,movie,JioHotstar,Other,flatrate,hd,IN,8.7,1980,Action Epic,8.302,movie,0
The Matrix,tt0133093,movie,JioHotstar,Other,flatrate,hd,IN,8.7,1999,Action Epic,8.302,movie,0
The Matrix,tt0133093,movie,Apple TV Store,Other,rent,hd,IN,8.7,1999,Action Epic,8.302,movie,0
The Matrix,tt0133093,movie,Google Play Movies,Other,rent,hd,IN,8.7,1999,Action Epic,8.302,movie,0
The Matrix,tt0133093,movie,YouTube,Other,rent,hd,IN,8.7,1999,Action Epic,8.302,movie,0
