title,imdb_id,content_type,platform,platform_group,monetization,presentation,region
Inception,tt1375666,movie,JioHotstar,JioHotstar,flatrate,hd,IN
Inception,tt1375666,movie,Amazon Prime Video with Ads,Amazon Prime Video with Ads,flatrate,hd,IN
Inception,tt1375666,movie,Apple TV Store,Apple TV Store,rent,hd,IN
Inception,tt1375666,movie,Google Play Movies,Google Play Movies,rent,hd,IN
Inception,tt1375666,movie,YouTube,YouTube,rent,hd,IN
Inception,tt1375666,movie,Amazon Video,Amazon Video,rent,hd,IN
Star Wars: Episode V - The Empire Strikes Back,tt0080684,movie,JioHotstar,JioHotstar,flatrate,hd,IN
The Matrix,tt0133093,movie,JioHotstar,JioHotstar,flatrate,hd,IN
The Matrix,tt0133093,movie,Apple TV Store,Apple TV Store,rent,hd,IN
The Matrix,tt0133093,movie,Google Play Movies,Google Play Movies,rent,hd,IN
The Matrix,tt0133093,movie,YouTube,YouTube,rent,hd,IN
GoodFellas,tt0099685,movie,Apple TV Store,Apple TV Store,rent,hd,IN
GoodFellas,tt0099685,movie,Google Play Movies,Google Play Movies,rent,hd,IN
GoodFellas,tt0099685,movie,YouTube,YouTube,rent,hd,IN
GoodFellas,tt0099685,movie,Amazon Video,Amazon Video,rent,hd,IN
Interstellar,tt0816692,movie,Amazon Prime Video,Amazon Prime Video,flatrate,hd,IN
Interstellar,tt0816692,movie,JioHotstar,JioHotstar,flatrate,hd,IN
Interstellar,tt0816692,movie,Amazon Prime Video with Ads,Amazon Prime Video with Ads,flatrate,hd,IN
Interstellar,tt0816692,movie,Apple TV Store,Apple TV Store,rent,hd,IN
Interstellar,tt0816692,movie,Google Play Movies,Google Play Movies,rent,hd,IN
Interstellar,tt0816692,movie,YouTube,YouTube,rent,hd,IN
Interstellar,tt0816692,movie,Amazon Video,Amazon Video,rent,hd,IN
One Flew Over the Cuckoo's Nest,tt0073486,movie,Apple TV Store,Apple TV Store,rent,hd,IN
One Flew Over the Cuckoo's Nest,tt0073486,movie,Google Play Movies,Google Play Movies,buy,hd,IN
One Flew Over the Cuckoo's Nest,tt0073486,movie,YouTube,YouTube,buy,hd,IN
Seven,tt0114369,movie,Not Available,Not Available,,,
It's a Wonderful Life,tt0038650,movie,Plex Channel,Plex Channel,free,hd,IN
It's a Wonderful Life,tt0038650,movie,Amazon Video,Amazon Video,rent,hd,IN
The Silence of the Lambs,tt0102926,movie,Amazon Prime Video,Amazon Prime Video,flatrate,hd,IN
The Silence of the Lambs,tt0102926,movie,Amazon Prime Video with Ads,Amazon Prime Video with Ads,flatrate,hd,IN
Seven Samurai,tt0047478,movie,HBO Max,HBO Max,flatrate,hd,US
Seven Samurai,tt0047478,movie,HBO Max Amazon Channel,HBO Max Amazon Channel,flatrate,hd,US
Seven Samurai,tt0047478,movie,Criterion Channel,Criterion Channel,flatrate,hd,US
Seven Samurai,tt0047478,movie,Kanopy,Kanopy,free,hd,US
Seven Samurai,tt0047478,movie,Plex,Plex,free,hd,US
Seven Samurai,tt0047478,movie,Plex Channel,Plex Channel,free,hd,US
Seven Samurai,tt0047478,movie,Shout! Factory TV,Shout! Factory TV,ads,hd,US
Seven Samurai,tt0047478,movie,YouTube Free,YouTube Free,ads,hd,US
Seven Samurai,tt0047478,movie,Tubi TV,Tubi TV,ads,hd,US
Seven Samurai,tt0047478,movie,Amazon Video,Amazon Video,rent,hd,US
Seven Samurai,tt0047478,movie,Apple TV Store,Apple TV Store,rent,hd,US
Seven Samurai,tt0047478,movie,Google Play Movies,Google Play Movies,rent,hd,US
Seven Samurai,tt0047478,movie,YouTube,YouTube,rent,hd,US
Seven Samurai,tt0047478,movie,Fandango At Home,Fandango At Home,rent,hd,US
Saving Private Ryan,tt0120815,movie,Netflix,Netflix,flatrate,hd,IN
